id,component,type,submission_date,contact,source,reference,extraction_method,peak_identificaton,interpolation_method,extra_preprocessing,complete_sample_name,sample_source,sample_composition,sample_preparation,sample_substrate,raman_technique,raman_system,delivery_optics,laser_wavelength,laser_power,acquisition_time,orig_spectral_range,orig_spectral_resolution,orig_spatial_resolution,detector,calibration,cropping,spike_removal,denoising,background_removal,baseline_removal,normalization,additional_info
43,malic acid,PrimaryMetabolites,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,malic acid,Merck,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
44,myristic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,myristic acid,Sigma-Aldrich,"Sigma grade, 99–100% purity",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
45,n-acetyl- d-glucosamine,Saccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,n-acetyl- d-glucosamine,Sigma Aldrich,"≥99% purity, powder",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
46,oleic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,oleic acid,Sigma-Aldrich,"Reagent grade, 99% purity",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
47,palmitic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,palmitic acid,Sigma-Aldrich,"Free acid, Sigma grade",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
48,phosphoenolpyruvate,PrimaryMetabolites,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,phosphoenolpyruvate,Boehringen Mannheim,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
49,pyruvate,PrimaryMetabolites,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,pyruvate (sodium salt),Sigma-Aldrich,"Reagent plus TM, ≥99% purity",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
50,riboﬂavin,Vitamins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,riboflavin,Certa,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
51,stearic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,stearic acid,Sigma-Aldrich,"Free acid, grade I, ~99%",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
52,succinic acid,PrimaryMetabolites,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,succinic acid,Merck,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
53,thymine,NucleicAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,thymine,Sigma-Aldrich,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
54,trilinolein,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,trilinolein,Sigma-Aldrich,"(C18 : 2,-CIS,CIS-9,12) approx 99% purity",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
55,trilinolenin,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,trilinolenin,Sigma-Aldrich,Purum ~98% (GC) purity,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
56,triolein,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,triolein,Sigma-Aldrich,"(C18 : 1,-CIS-9) Sigma grade ~99%",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
57,uracil,NucleicAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,uracil,Sigma-Aldrich,Crystalline,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
58,vaccenic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,cis-vaccenic acid,Sigma-Aldrich,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
59,β-carotene,Pigments,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,β-carotene,Sigma-Aldrich,"Type II, synthetic, ≥95% (HPLC) purity, crystalline",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
60,β-d-glucose,Saccharides/Monosaccharides/Glucose,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,β-d-glucose,MP Biomedicals,99% purity,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
61,arachidonic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,arachidonic acid,Sigma-Aldrich,"≥99% purity, liquid at room temp.",Drop of liquid, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
62,α-linolenic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,α-linolenic acid,Sigma-Aldrich,"≥99% purity, liquid at room temp.",Drop of liquid, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
63,arachidic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,arachidic acid,Sigma-Aldrich,"≥99% purity, solid at room temp.",Pinch of solid on a CaF2 slide, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
64,cholesterol,Lipids/Sterols,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,cholesterol,Sigma-Aldrich,"≥99% purity, solid at room temp.",Pinch of solid on a CaF2 slide, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
65,cholesteryl linoleate,Lipids/Sterols,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,cholesteryl linoleate,Sigma-Aldrich,"≥99% purity, solid at room temp.",Pinch of solid on a CaF2 slide, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
66,cholesteryl oleate,Lipids/Sterols,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,cholesteryl oleate,Sigma-Aldrich,"≥98% purity, solid at room temp.",Pinch of solid on a CaF2 slide, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
67,cholesteryl palmitate,Lipids/Sterols,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,cholesteryl palmitate,Sigma-Aldrich,"≥97% purity, solid at room temp.",Pinch of solid on a CaF2 slide, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
68,cholesteryl stearate,Lipids/Sterols,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,cholesteryl stearate,Sigma-Aldrich,"≥96% purity, solid at room temp.",Pinch of solid on a CaF2 slide, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
69,elaidic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,elaidic acid,Sigma-Aldrich,"≥99% purity, solid at room temp.",Pinch of solid on a CaF2 slide, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
70,linoleic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,linoleic acid,Sigma-Aldrich,"≥99% purity, liquid at room temp.",Drop of liquid, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
71,myristic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,myristic acid,Sigma-Aldrich,"≥99% purity, solid at room temp.",Pinch of solid on a CaF2 slide, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
